name,offset,classification,cfg_status
Used_Teleporter_,166006,routine_entry,matches
Set_Teleporter_Used_,166028,routine_entry,matches
Already_Boarded_,166050,routine_entry,matches
Set_Boarded_Flag_,166072,routine_entry,matches
Being_Captured_,166094,routine_entry,matches
Set_Capturing_Flag_,166119,routine_entry,matches
Clear_Capturing_Flag_,166144,routine_entry,matches
Retarget_Missiles_Aimed_At_,166174,routine_entry,matches
Is_Combat_Ship_Dead_,166266,routine_entry,matches+unresolved
Target_Is_Legal_For_Weapon_,166376,routine_entry,shorter+unresolved
Fire_Ship_,166750,routine_entry,shorter+unresolved
Get_Beam_Range_To_Hit_Bonus_,168966,routine_entry,shorter+unresolved
Get_Beam_Weapon_Modifiers_,169012,routine_entry,matches+unresolved
Fire_Beam_Weapon_,169207,routine_entry,shorter+unresolved
Apply_Ship_Damage_,170373,routine_entry,matches+unresolved
Facing_Shield_,171488,routine_entry,matches
Destroy_Ship_,171541,routine_entry,shorter+unresolved
Weapon_In_Range_,171805,routine_entry,matches
Apply_Damage_To_Missile_,172217,routine_entry,matches
Does_Combat_Planet_Have_Defenses_,172354,routine_entry,matches+unresolved
Destroy_Colony_Defense_,172446,routine_entry,matches+unresolved
Apply_Damage_To_Planet_,172995,routine_entry,matches+unresolved
Fire_Bomb_,173770,routine_entry,shorter+unresolved
Weapon_Can_Fire_At_Missiles_,173994,routine_entry,matches
Place_Ship_In_Stasis_,174098,routine_entry,matches
Fire_Special_Weapon_,174127,routine_entry,matches+unresolved
Fire_Fighter_Bomb_,175136,routine_entry,shorter+unresolved
Fire_Fighter_Beam_,175447,routine_entry,shorter+unresolved
Remove_Stasis_Beam_,176051,routine_entry,matches
Special_Is_On_,176101,routine_entry,shorter+unresolved
Special_Is_Turned_On_,176132,routine_entry,matches
Energy_Absorber_Attack_,176247,routine_entry,shorter+unresolved
Pre_Weapon_Specials_,176946,routine_entry,matches
Draw_Energy_Absorber_,177133,routine_entry,matches
Draw_BHG_,177344,routine_entry,shorter+unresolved
BHG_,177703,routine_entry,shorter+unresolved
_missile_group_offset,178237,routine_entry,shorter
_torpedo_group_offset,178749,routine_entry,shorter
Missile_Owner_,179005,routine_entry,matches
Missile_Type_,179024,routine_entry,matches
Coord_Movement_,179190,routine_entry,matches
Kill_Missile_,179328,routine_entry,matches
Did_Missile_Hit_,179405,routine_entry,matches+unresolved
Picture_Count_,179500,routine_entry,shorter+unresolved
Get_Multiple_Torpedo_Coords_,179674,routine_entry,shorter
Get_Multiple_Missile_Coords_,180082,routine_entry,matches
Draw_Missile_,180956,routine_entry,matches+unresolved
Draw_Missile_Status_,181561,routine_entry,matches
Draw_Missiles_,182324,routine_entry,shorter+unresolved
Fire_Missile_,182418,routine_entry,matches+unresolved
Missile_Coord_Movement_,183332,routine_entry,matches
Missile_Facing_To_XY_,183410,routine_entry,matches
Missile_Facing_,183452,routine_entry,matches
Missile_Speed_,183585,routine_entry,matches+unresolved
Missile_On_Combat_Screen_,183887,routine_entry,matches
Move_Missile_,183991,routine_entry,matches+unresolved
Next_Missile_Id_,184861,routine_entry,matches
On_Combat_Screen_,184921,routine_entry,matches
Is_Missile_Target_Alive_,184985,routine_entry,matches
